-0.6241726198050337 -0.6241726198050337 -0.6241726198050337 | 1 0
-3.625701641963055 -3.625701641963055 -3.625701641963055 | 0 1
-2.7878080835490127 -2.7878080835490127 -2.7878080835490127 | 1 0
4.205542596121385 4.205542596121385 4.205542596121385 | 1 0
-3.417513836923681 -3.417513836923681 -3.417513836923681 | 0 1
-0.715690056183349 -0.715690056183349 -0.715690056183349 | 1 0
5.339857137751132 5.339857137751132 5.339857137751132 | 1 0
0.7728318649709998 0.7728318649709998 0.7728318649709998 | 0 1
-4.058570385008872 -4.058570385008872 -4.058570385008872 | 0 1
0.7527373672221245 0.7527373672221245 0.7527373672221245 | 0 1
2.5410770491232153 2.5410770491232153 2.5410770491232153 | 0 1
-3.5659737534706704 -3.5659737534706704 -3.5659737534706704 | 0 1
4.341358247090142 4.341358247090142 4.341358247090142 | 1 0
-5.888704470318151 -5.888704470318151 -5.888704470318151 | 0 1
-1.7163392300050049 -1.7163392300050049 -1.7163392300050049 | 1 0
4.422595859441145 4.422595859441145 4.422595859441145 | 1 0
3.0689430140727847 3.0689430140727847 3.0689430140727847 | 0 1
-5.728631794304276 -5.728631794304276 -5.728631794304276 | 0 1
-0.6279871834102089 -0.6279871834102089 -0.6279871834102089 | 1 0
1.8276779912959462 1.8276779912959462 1.8276779912959462 | 0 1
1.7468084326454907 1.7468084326454907 1.7468084326454907 | 0 1
-0.11513330893822804 -0.11513330893822804 -0.11513330893822804 | 1 0
6.05091994071198 6.05091994071198 6.05091994071198 | 1 0
5.452703766804982 5.452703766804982 5.452703766804982 | 1 0
-5.108829636832258 -5.108829636832258 -5.108829636832258 | 0 1
2.8974397779528402 2.8974397779528402 2.8974397779528402 | 0 1
-3.8801420867995073 -3.8801420867995073 -3.8801420867995073 | 0 1
0.6310888044639018 0.6310888044639018 0.6310888044639018 | 0 1
-6.2450417302690955 -6.2450417302690955 -6.2450417302690955 | 0 1
-1.4322064345444403 -1.4322064345444403 -1.4322064345444403 | 1 0
2.051141386114171 2.051141386114171 2.051141386114171 | 0 1
5.5503628668353855 5.5503628668353855 5.5503628668353855 | 1 0
-3.560579361222847 -3.560579361222847 -3.560579361222847 | 0 1
-1.4275457431706027 -1.4275457431706027 -1.4275457431706027 | 1 0
-0.2244277179072185 -0.2244277179072185 -0.2244277179072185 | 1 0
3.9897792310077556 3.9897792310077556 3.9897792310077556 | 1 0
2.6561597806328034 2.6561597806328034 2.6561597806328034 | 0 1
-3.180203340912379 -3.180203340912379 -3.180203340912379 | 0 1
0.8474924687466521 0.8474924687466521 0.8474924687466521 | 0 1
-2.713150285850292 -2.713150285850292 -2.713150285850292 | 1 0
-1.7974819415196723 -1.7974819415196723 -1.7974819415196723 | 1 0
-5.791705483051385 -5.791705483051385 -5.791705483051385 | 0 1
-3.736960834488565 -3.736960834488565 -3.736960834488565 | 0 1
-3.1482310950433265 -3.1482310950433265 -3.1482310950433265 | 0 1
5.3346537917294885 5.3346537917294885 5.3346537917294885 | 1 0
0.08445357231072492 0.08445357231072492 0.08445357231072492 | 0 1
-4.976464972316407 -4.976464972316407 -4.976464972316407 | 0 1
-5.535661996583121 -5.535661996583121 -5.535661996583121 | 0 1
-2.544107642957353 -2.544107642957353 -2.544107642957353 | 1 0
-1.512411553961953 -1.512411553961953 -1.512411553961953 | 1 0
5.396512375262754 5.396512375262754 5.396512375262754 | 1 0
3.6782675185459297 3.6782675185459297 3.6782675185459297 | 1 0
3.371826991544742 3.371826991544742 3.371826991544742 | 1 0
-3.9870737140845995 -3.9870737140845995 -3.9870737140845995 | 0 1
-3.1616572364141726 -3.1616572364141726 -3.1616572364141726 | 0 1
-2.889594397172908 -2.889594397172908 -2.889594397172908 | 1 0
6.17114051015033 6.17114051015033 6.17114051015033 | 1 0
-2.0019030890627247 -2.0019030890627247 -2.0019030890627247 | 1 0
-6.252485490632257 -6.252485490632257 -6.252485490632257 | 0 1
-4.999110584206667 -4.999110584206667 -4.999110584206667 | 0 1
-2.191516763702235 -2.191516763702235 -2.191516763702235 | 1 0
-2.920019904929164 -2.920019904929164 -2.920019904929164 | 1 0
-5.734162100369579 -5.734162100369579 -5.734162100369579 | 0 1
0.013461710688988049 0.013461710688988049 0.013461710688988049 | 0 1
-3.074154608624628 -3.074154608624628 -3.074154608624628 | 1 0
-2.4277333883872374 -2.4277333883872374 -2.4277333883872374 | 1 0
-3.3271980998879025 -3.3271980998879025 -3.3271980998879025 | 0 1
4.195247455541006 4.195247455541006 4.195247455541006 | 1 0
0.5287272909676748 0.5287272909676748 0.5287272909676748 | 0 1
4.678968360648302 4.678968360648302 4.678968360648302 | 1 0
1.967682050099926 1.967682050099926 1.967682050099926 | 0 1
4.198054699031063 4.198054699031063 4.198054699031063 | 1 0
-3.135936806178453 -3.135936806178453 -3.135936806178453 | 1 0
-1.0246842308633903 -1.0246842308633903 -1.0246842308633903 | 1 0
-3.2013802849130375 -3.2013802849130375 -3.2013802849130375 | 0 1
2.472572017001797 2.472572017001797 2.472572017001797 | 0 1
1.067404004594473 1.067404004594473 1.067404004594473 | 0 1
2.1657398029714976 2.1657398029714976 2.1657398029714976 | 0 1
4.88983385573462 4.88983385573462 4.88983385573462 | 1 0
-5.001286756696951 -5.001286756696951 -5.001286756696951 | 0 1
0.428874734397966 0.428874734397966 0.428874734397966 | 0 1
1.3098277774857259 1.3098277774857259 1.3098277774857259 | 0 1
1.9894717957646844 1.9894717957646844 1.9894717957646844 | 0 1
-4.055260606981151 -4.055260606981151 -4.055260606981151 | 0 1
-1.680571124943544 -1.680571124943544 -1.680571124943544 | 1 0
1.1654114240123628 1.1654114240123628 1.1654114240123628 | 0 1
5.158762943186266 5.158762943186266 5.158762943186266 | 1 0
5.373376852391436 5.373376852391436 5.373376852391436 | 1 0
-5.7659066039533355 -5.7659066039533355 -5.7659066039533355 | 0 1
-2.7992735215574034 -2.7992735215574034 -2.7992735215574034 | 1 0
0.93046304858209 0.93046304858209 0.93046304858209 | 0 1
-3.729132604774367 -3.729132604774367 -3.729132604774367 | 0 1
0.36560550166847694 0.36560550166847694 0.36560550166847694 | 0 1
1.1081721671118636 1.1081721671118636 1.1081721671118636 | 0 1
3.273033240754218 3.273033240754218 3.273033240754218 | 1 0
-4.754400263075334 -4.754400263075334 -4.754400263075334 | 0 1
6.272225583446787 6.272225583446787 6.272225583446787 | 1 0
-0.8841054992693556 -0.8841054992693556 -0.8841054992693556 | 1 0
2.3086147637971557 2.3086147637971557 2.3086147637971557 | 0 1
-4.101326994489215 -4.101326994489215 -4.101326994489215 | 0 1
0.9798554429070956 0.9798554429070956 0.9798554429070956 | 0 1
1.6929810284045548 1.6929810284045548 1.6929810284045548 | 0 1
2.792239143987544 2.792239143987544 2.792239143987544 | 0 1
-4.339387858360717 -4.339387858360717 -4.339387858360717 | 0 1
4.140509768511091 4.140509768511091 4.140509768511091 | 1 0
3.925481286195309 3.925481286195309 3.925481286195309 | 1 0
1.9847220708724684 1.9847220708724684 1.9847220708724684 | 0 1
-1.9745586187396365 -1.9745586187396365 -1.9745586187396365 | 1 0
-1.6998335984762125 -1.6998335984762125 -1.6998335984762125 | 1 0
-3.4613955059632726 -3.4613955059632726 -3.4613955059632726 | 0 1
-3.9256581571832396 -3.9256581571832396 -3.9256581571832396 | 0 1
1.1271428833878554 1.1271428833878554 1.1271428833878554 | 0 1
2.485837713254215 2.485837713254215 2.485837713254215 | 0 1
-3.590933222307251 -3.590933222307251 -3.590933222307251 | 0 1
1.1443581867498223 1.1443581867498223 1.1443581867498223 | 0 1
5.6194333707494 5.6194333707494 5.6194333707494 | 1 0
3.254593502461729 3.254593502461729 3.254593502461729 | 1 0
-1.2820262937638862 -1.2820262937638862 -1.2820262937638862 | 1 0
-0.8896003677310853 -0.8896003677310853 -0.8896003677310853 | 1 0
2.377280806458181 2.377280806458181 2.377280806458181 | 0 1
-4.20041467685928 -4.20041467685928 -4.20041467685928 | 0 1
3.692028235639249 3.692028235639249 3.692028235639249 | 1 0
1.3647857171631452 1.3647857171631452 1.3647857171631452 | 0 1
-5.466039742621753 -5.466039742621753 -5.466039742621753 | 0 1
-4.860213443052224 -4.860213443052224 -4.860213443052224 | 0 1
-0.8564084693061833 -0.8564084693061833 -0.8564084693061833 | 1 0
2.5848761445224735 2.5848761445224735 2.5848761445224735 | 0 1
5.632866347664223 5.632866347664223 5.632866347664223 | 1 0
0.11717701391701851 0.11717701391701851 0.11717701391701851 | 0 1
3.030059460861386 3.030059460861386 3.030059460861386 | 0 1
-0.9112550854425558 -0.9112550854425558 -0.9112550854425558 | 1 0
-4.26309720523634 -4.26309720523634 -4.26309720523634 | 0 1
3.245552505413503 3.245552505413503 3.245552505413503 | 1 0
